"","Gene_ID","Pman_GeneID","P_maniculatus_attr","M_musculus_attr","EP_strain_logFC","EP_strain_adj_P.Val","EP_strain_SIG","diffexpressed_EP","LP_strain_logFC","LP_strain_adj_P.Val","LP_strain_SIG","diffexpressed_LP","Quadrant"
"12","LOC102926317","37LRP","Small ribosomal subunit protein uS2","Small ribosomal subunit protein uS2",2.32067240983881,2.12585835017807e-52,"SIG","UP",2.1452791914647,9.92065709587285e-183,"SIG","UP","Up-Up"
"13","LOC102922893","CHCHD2","Coiled-coil-helix-coiled-coil-helix domain-containing protein 2","NA",3.33991351059401,4.39987673088512e-51,"SIG","UP",1.79790406798485,2.11775621563576e-17,"SIG","UP","Up-Up"
"14","LOC102911735","Chondroitinase","steryl-sulfatase-like","N-acetylgalactosamine-6-sulfatase",-1.98295232193202,4.67917847561016e-49,"SIG","DOWN",-1.54034906693093,7.62511487615036e-14,"SIG","DOWN","Down-Down"
"15","LOC102922385","LOC102922385","NA","NA",4.51263987266138,1.26378003279855e-47,"SIG","UP",4.71468471131215,1.80423046451216e-83,"SIG","UP","Up-Up"
"16","LOC102904932","PPIase A","Peptidyl-prolyl cis-trans isomerase","Peptidyl-prolyl cis-trans isomerase A",1.64332370035795,2.56345298349498e-46,"SIG","UP",1.71794686534698,3.19103818349131e-146,"SIG","UP","Up-Up"
"17","LOC102910884","PCNP","PEST proteolytic signal-containing nuclear protein","NA",1.38554294003233,3.25468275062e-43,"SIG","UP",0.686279690084894,2.63278152891022e-51,"SIG","UP","Up-Up"
"18","LOC121831462","ST4A1","sulfotransferase 4A1","Sulfotransferase 4A1",-2.80190832224553,3.65667819002496e-43,"SIG","DOWN",-1.78665986976357,5.16012397915491e-14,"SIG","DOWN","Down-Down"
"19","LOC102921505","GNPNAT1","glucosamine 6-phosphate N-acetyltransferase","Glucosamine 6-phosphate N-acetyltransferase",2.258654459716,8.13015930723472e-41,"SIG","UP",1.49317756289271,2.02170056847536e-42,"SIG","UP","Up-Up"
"20","LOC102925104","V-ATPase subunit G 1","V-type proton ATPase subunit G","V-type proton ATPase subunit G 1",3.07061316264823,5.07032660201835e-40,"SIG","UP",1.87645192159364,2.7856793035552e-36,"SIG","UP","Up-Up"
"21","LOC102922209","LOC102922209","NA","NA",3.08067728306686,9.12817567180824e-40,"SIG","UP",2.3303578019929,8.15623810600606e-100,"SIG","UP","Up-Up"
"22","novel_gene_NW_024590034.1_81","novel_gene_NW_024590034.1_81","NA","NA",-3.09433958602055,2.19980969199075e-39,"SIG","DOWN",-1.96056672039232,1.97614108952506e-13,"SIG","DOWN","Down-Down"
"23","LOC102909749","LOC102909749","NA","NA",2.69403756846439,1.41360044105592e-37,"SIG","UP",0.928884718926065,3.92533754351764e-11,"SIG","UP","Up-Up"
"24","LOC102918638","LOC102918638","NA","NA",1.61050771189845,2.37622871595992e-37,"SIG","UP",1.69620322601628,7.33017314800809e-29,"SIG","UP","Up-Up"
"25","C10H5orf52","C10H5orf52","NA","NA",-2.65402761553963,3.95363584879148e-37,"SIG","DOWN",-1.74971428389097,3.61947480908731e-23,"SIG","DOWN","Down-Down"
"26","LOC107402193","ENSMUSG00215051722.1","uncharacterized protein LOC107402193 isoform X1","NA",-1.65012366714954,5.2701719335247e-37,"SIG","DOWN",-1.3262534966643,7.84477253895929e-14,"SIG","DOWN","Down-Down"
"27","Spr","Spr","NA","NA",2.3144994258104,1.53990664593932e-36,"SIG","UP",1.75620243822405,1.68476504370303e-41,"SIG","UP","Up-Up"
"28","novel_gene_NW_024598471.1_2","novel_gene_NW_024598471.1_2","NA","NA",-1.49016121017062,7.46192229286969e-33,"SIG","DOWN",-0.57537990190321,1.06715737570809e-06,"SIG","DOWN","Down-Down"
"29","LOC102920512","AdoHcyase","S-adenosyl-L-homocysteine hydrolase NAD binding domain-containing protein","Adenosylhomocysteinase",3.67091218706118,3.25198072835794e-32,"SIG","UP",2.73492427715002,6.62204269091476e-80,"SIG","UP","Up-Up"
"30","LOC102927525","Cytochrome c oxidase subunit VIIa-L","cytochrome c oxidase subunit 7A2, mitochondrial","Cytochrome c oxidase subunit 7A2, mitochondrial",3.44712989664375,1.04259498324345e-31,"SIG","UP",2.66441594278032,0,"SIG","UP","Up-Up"
"31","LOC102928417","LOC102928417","NA","NA",4.29505216478179,1.25526942617802e-31,"SIG","UP",3.60776749158735,1.13506327423317e-52,"SIG","UP","Up-Up"
"32","Nfatc2","Nfatc2","NA","Nuclear factor of activated T-cells, cytoplasmic 2",1.46766256410089,2.21380405425615e-31,"SIG","UP",0.902274726495943,1.01510450709531e-40,"SIG","UP","Up-Up"
"33","Echdc1","Echdc1","NA","Ethylmalonyl-CoA decarboxylase",-0.671510239100921,3.11682977151605e-30,"SIG","DOWN",-0.687214876473167,1.48222448327662e-17,"SIG","DOWN","Down-Down"
"34","LOC102929028","HMGN1","non-histone chromosomal protein HMG-14-like isoform X1","Non-histone chromosomal protein HMG-14",2.44999105889427,2.09979323598219e-28,"SIG","UP",0.963248434429919,5.74701497625903e-09,"SIG","UP","Up-Up"
"35","Thap6","Thap6","NA","Zinc finger protein 687",-1.28067331162483,5.64336753466184e-28,"SIG","DOWN",-0.706193471736004,3.290644616443e-105,"SIG","DOWN","Down-Down"
"36","LOC102919021","DIO1","Ubiquitin-ribosomal protein eL40 fusion protein","NA",-3.13591334222928,8.31194095780171e-28,"SIG","DOWN",-2.99031339770903,1.08453745229358e-20,"SIG","DOWN","Down-Down"
"37","Adam22","Adam22","NA","NA",1.5020673430157,2.41038121007766e-27,"SIG","UP",1.02764066704097,2.55689711345972e-10,"SIG","UP","Up-Up"
"38","LOC121821275","LOC121821275","NA","NA",-2.26513556478554,3.23216381480061e-27,"SIG","DOWN",-2.58127614647554,4.74894355919624e-58,"SIG","DOWN","Down-Down"
"39","Ttc24","Ttc24","NA","NA",2.36075986380542,3.81421035187264e-27,"SIG","UP",1.0467996731903,1.0022830382655e-05,"SIG","UP","Up-Up"
"40","LOC102916938","ANT 2","ADP/ATP translocase 2-like","ADP/ATP translocase 2",1.8162283694741,1.04476416377629e-26,"SIG","UP",1.47850980902999,1.89565537587257e-41,"SIG","UP","Up-Up"
"41","Bivm","Bivm","NA","NA",-0.951373814157021,1.27050110857605e-26,"SIG","DOWN",-0.414016453528375,6.75926908187632e-11,"SIG","DOWN","NA"
"42","novel_gene_NC_056015.1_39871","novel_gene_NC_056015.1_39871","NA","NA",1.76600453609481,1.75759958052613e-26,"SIG","UP",0.495727143167779,2.07452089640212e-15,"SIG","UP","NA"
"43","LOC102903947","tmem198b","transmembrane protein 198-like isoform X1","Transmembrane protein 198",1.84916297708736,4.47551837279733e-26,"SIG","UP",0.834019019691286,3.30397306167391e-21,"SIG","UP","Up-Up"
"44","Katnal1","Katnal1","NA","Katanin p60 ATPase-containing subunit A-like 1",-1.98698660590046,4.90232522485527e-26,"SIG","DOWN",-1.53662472419616,1.51413519228588e-31,"SIG","DOWN","Down-Down"
"45","Fhad1","Fhad1","NA","Forkhead-associated domain-containing protein 1",-1.75955636324411,8.97304600711266e-26,"SIG","DOWN",-0.963879592269335,4.16439513942804e-09,"SIG","DOWN","Down-Down"
"46","novel_gene_NC_056022.1_13723","novel_gene_NC_056022.1_13723","NA","NA",-0.990369719313828,1.14842190339383e-25,"SIG","DOWN",-0.577801697199877,7.30389938744144e-13,"SIG","DOWN","Down-Down"
"47","Fam110c","Fam110c","NA","Protein FAM110C",2.26166322999284,1.15020544943791e-25,"SIG","UP",0.91547797877341,1.57230054471415e-18,"SIG","UP","Up-Up"
"48","Ptar1","Ptar1","NA","Protein prenyltransferase, alpha subunit",-0.870528882473125,6.92391931046108e-25,"SIG","DOWN",-0.501582674896658,3.16477160269109e-09,"SIG","DOWN","Down-Down"
"49","Ccm2l","Ccm2l","NA","Cerebral cavernous malformations 2",2.04889244773595,7.49168224305286e-24,"SIG","UP",1.48348243057583,3.63218118770199e-31,"SIG","UP","Up-Up"
"50","LOC102918495","Zfp819","zinc finger protein 175","Zinc finger protein 819",-1.21107026654062,1.03758528106242e-23,"SIG","DOWN",-2.34508304807342,2.36602105329704e-80,"SIG","DOWN","Down-Down"
"51","Jagn1","Jagn1","NA","Protein jagunal homolog 1",-1.25891457519745,1.42976294076917e-23,"SIG","DOWN",-1.06155434172122,2.24089840347907e-74,"SIG","DOWN","Down-Down"
"52","LOC121827898","LOC121827898","NA","NA",4.28224910733726,2.8066053391825e-23,"SIG","UP",1.74977045021375,9.35807610850308e-35,"SIG","UP","Up-Up"
"53","Ost4","Ost4","NA","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4",-1.29662060211109,3.47151239502254e-23,"SIG","DOWN",-0.846012676771073,1.52515434764986e-14,"SIG","DOWN","Down-Down"
"54","LOC102923285","PKM","LOW QUALITY PROTEIN: pyruvate kinase PKM-like","Pyruvate kinase PKM",3.72903632470095,3.47151239502254e-23,"SIG","UP",1.07871269423476,2.59855701001868e-45,"SIG","UP","Up-Up"
"55","novel_gene_NC_056026.1_7664","novel_gene_NC_056026.1_7664","NA","NA",1.84792836897206,6.23168637833984e-23,"SIG","UP",2.07575738064863,3.7977257826071e-25,"SIG","UP","Up-Up"
"56","LOC102920010","Zfp-46","zinc finger protein 805 isoform X1","Zinc finger protein 436",1.25379481654893,9.35389903728705e-23,"SIG","UP",1.02855422849374,1.73530478571094e-32,"SIG","UP","Up-Up"
"57","novel_gene_NC_056029.1_1051","novel_gene_NC_056029.1_1051","NA","NA",-1.79725584795145,3.36976689137095e-22,"SIG","DOWN",-1.94401510967609,2.1636151292752e-19,"SIG","DOWN","Down-Down"
"58","novel_gene_NC_056019.1_13352","novel_gene_NC_056019.1_13352","NA","NA",-1.25816756001635,3.85964358230286e-22,"SIG","DOWN",-0.78245328837579,1.24189329393744e-22,"SIG","DOWN","Down-Down"
"59","Znf597","Znf597","NA","KRAB domain superfamily",-0.648244370638725,4.4486272539432e-22,"SIG","DOWN",-0.404363009547751,1.95296015786256e-10,"SIG","DOWN","NA"
"60","Agbl1","Agbl1","NA","tubulin-glutamate carboxypeptidase",1.30138518456556,5.64163601783956e-22,"SIG","UP",0.580604030157429,1.02038562695033e-07,"SIG","UP","Up-Up"
"61","LOC102913996","RCHY1","RING finger and CHY zinc finger domain-containing protein 1","RING finger and CHY zinc finger domain-containing protein 1",1.06538768046715,6.83727706261657e-22,"SIG","UP",0.697652883168264,3.63156483427867e-41,"SIG","UP","Up-Up"
"62","Ric3","Ric3","NA","Protein RIC-3",2.51945321280844,7.50942481195878e-22,"SIG","UP",2.24715090027089,2.93349063566153e-44,"SIG","UP","Up-Up"
"63","LOC121822879","Zfp65","zinc finger protein 714-like","Krueppel-associated box",-0.882095495122082,1.29258837345791e-21,"SIG","DOWN",-1.07898221390301,3.81719620351715e-13,"SIG","DOWN","Down-Down"
"64","LOC121824743","LOC121824743","NA","NA",1.92924795906261,4.59731732876277e-21,"SIG","UP",0.901961908417627,1.03113264795175e-43,"SIG","UP","Up-Up"
"65","novel_gene_NC_056016.1_1423","novel_gene_NC_056016.1_1423","NA","NA",2.03994789702639,5.48209858902003e-21,"SIG","UP",1.47677092317081,6.1934010055038e-109,"SIG","UP","Up-Up"
"66","LOC102909903","EZH2","histone-lysine N-methyltransferase EZH2-like","Histone-lysine N-methyltransferase EZH2",2.03991579404001,5.48209858902003e-21,"SIG","UP",1.47668635777195,6.1934010055038e-109,"SIG","UP","Up-Up"
"67","novel_gene_NC_056019.1_4357","novel_gene_NC_056019.1_4357","NA","NA",-1.15882625784594,1.29927582211556e-20,"SIG","DOWN",-1.0178647145427,1.42656794971506e-10,"SIG","DOWN","Down-Down"
"68","Astn2","Astn2","NA","Astrotactin-2",1.43009910594858,1.63074402465079e-20,"SIG","UP",0.737822254374473,4.37307799682582e-17,"SIG","UP","Up-Up"
"69","LOC102918956","UBE2E3","ubiquitin-conjugating enzyme E2 E2 isoform X1","Ubiquitin-conjugating enzyme E2 E3",0.86967089753414,1.83057710835292e-20,"SIG","UP",0.353072661544089,1.00641100820552e-05,"SIG","UP","NA"
"70","novel_gene_NC_056017.1_3314","novel_gene_NC_056017.1_3314","NA","NA",1.01401856714751,2.28757384555293e-20,"SIG","UP",0.613084387254823,6.55879785803717e-18,"SIG","UP","Up-Up"
"71","Lysmd3","Lysmd3","NA","LysM and putative peptidoglycan-binding domain-containing protein 3",-0.981395041775703,2.48009466373849e-20,"SIG","DOWN",-0.523056287051819,6.08489443058229e-12,"SIG","DOWN","Down-Down"
"72","novel_gene_NC_056017.1_14470","novel_gene_NC_056017.1_14470","NA","NA",-1.08204356008257,2.81647991183224e-20,"SIG","DOWN",-0.583297349273904,1.25566327605816e-05,"SIG","DOWN","Down-Down"
"73","LOC102920232","RPLP0","60S acidic ribosomal protein P0","NA",0.985408451825135,2.9876542673309e-20,"SIG","UP",0.689071708751497,2.69146620021753e-19,"SIG","UP","Up-Up"
"74","Smndc1","Smndc1","NA","Survival of motor neuron-related-splicing factor 30",-0.530812925082715,3.16946185474986e-20,"SIG","DOWN",-0.230580654962092,2.40167629728565e-08,"SIG","DOWN","NA"
"75","Hspb2","Hspb2","NA","Heat shock protein beta-2",-2.35075201457903,4.17058012408286e-20,"SIG","DOWN",-1.31793259228734,1.01134702707046e-07,"SIG","DOWN","Down-Down"
"76","Cog4","Cog4","NA","Conserved oligomeric Golgi complex subunit 4",-0.524175697084418,5.00759272504653e-20,"SIG","DOWN",-0.352562629990562,1.18033624504567e-23,"SIG","DOWN","NA"
"77","LOC102928420","AMPSase 1","Adenylosuccinate synthetase isozyme 2","Adenylosuccinate synthetase isozyme 1",1.63114105710433,5.11147850956059e-20,"SIG","UP",1.390948474718,3.02085005891631e-27,"SIG","UP","Up-Up"
"78","LOC102906171","PSMC6","26S proteasome regulatory subunit 10B-like","26S proteasome regulatory subunit 10B",1.04157874104424,5.60579803431426e-20,"SIG","UP",0.687119290273539,3.44499186030673e-19,"SIG","UP","Up-Up"
"79","Hlcs","Hlcs","NA","Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)",1.34554291864928,1.02214673109859e-19,"SIG","UP",0.846188094475602,3.29827865967006e-12,"SIG","UP","Up-Up"
"80","novel_gene_NC_056016.1_20098","novel_gene_NC_056016.1_20098","NA","NA",1.16904342512168,1.24457499637039e-19,"SIG","UP",0.985961771143395,1.20094789865391e-66,"SIG","UP","Up-Up"
"81","LOC102909037","LOC102909037","NA","NA",2.22166071701802,1.54982168676839e-19,"SIG","UP",1.02165931198433,1.78291653352591e-15,"SIG","UP","Up-Up"
"82","Oxnad1","Oxnad1","NA","Oxidoreductase NAD-binding domain-containing protein 1",-0.557900353312831,1.66527546771574e-19,"SIG","DOWN",-0.428801202085255,2.53902317999372e-15,"SIG","DOWN","NA"
"83","Gramd1a","Gramd1a","NA","Protein Aster-A",-1.02639475306103,2.05647722019849e-19,"SIG","DOWN",-0.725320019666295,3.1596783620562e-21,"SIG","DOWN","Down-Down"
"84","LOC121827962","LOC121827962","NA","NA",0.889688033794991,2.81074398337658e-19,"SIG","UP",1.38076246057304,3.18593369158211e-26,"SIG","UP","Up-Up"
"85","LOC102909502","CYCS","Electron carrier protein","Cytochrome c, somatic",-1.22948010372698,3.10048297818502e-19,"SIG","DOWN",-0.438839351318299,0.00041939426297811,"SIG","DOWN","NA"
"86","Rplp0","Rplp0","NA","NA",-0.770143725481054,3.18903981668567e-19,"SIG","DOWN",-0.685630401244321,7.27023447736494e-34,"SIG","DOWN","Down-Down"
"87","novel_gene_NC_056009.1_1902","novel_gene_NC_056009.1_1902","NA","NA",2.3319024319835,3.50201799569479e-19,"SIG","UP",4.09706144695892,4.59741754297658e-139,"SIG","UP","Up-Up"
"88","novel_gene_NC_056012.1_11446","novel_gene_NC_056012.1_11446","NA","NA",2.26003291443113,3.80127610384461e-19,"SIG","UP",1.06157859238487,1.01418639497864e-09,"SIG","UP","Up-Up"
"89","Muc19","Muc19","NA","NA",1.35671236040709,3.80403685155165e-19,"SIG","UP",0.651209960739232,1.14396976601652e-13,"SIG","UP","Up-Up"
"90","Rtkn","Rtkn","NA","Rhotekin",1.66482264512259,1.04290243327223e-18,"SIG","UP",0.716627653100047,0.00015816540373968,"SIG","UP","Up-Up"
"91","LOC121824839","H2-Q10","H-2 class I histocompatibility antigen, D-37 alpha chain-like isoform X19","MHC class I-like antigen recognition-like superfamily",-2.36873988196616,1.23242260605037e-18,"SIG","DOWN",-2.03975633782244,2.266978039504e-49,"SIG","DOWN","Down-Down"
"92","novel_gene_NC_056009.1_22339","novel_gene_NC_056009.1_22339","NA","NA",-1.8287411013559,1.61729664141641e-18,"SIG","DOWN",-1.22525966302592,1.01856906041554e-22,"SIG","DOWN","Down-Down"
"93","Ppp2r3a","Ppp2r3a","NA","EF-hand domain-containing protein",0.873412926241763,1.83634127054864e-18,"SIG","UP",0.514119388991912,5.88692398035543e-16,"SIG","UP","Up-Up"
"94","LOC102902757","ANKRD26","ankyrin repeat domain-containing protein 26","Ankyrin repeat-containing domain superfamily",1.19933680506527,1.95968735788636e-18,"SIG","UP",0.972184251562831,1.6410395690154e-11,"SIG","UP","Up-Up"
"95","LOC102919853","CtIP","DNA endonuclease RBBP8-like","DNA endonuclease RBBP8",1.24472258479886,2.12578754674037e-18,"SIG","UP",0.654223743708958,1.03407500165601e-07,"SIG","UP","Up-Up"
"96","LOC121830851","LOC121830851","NA","NA",-1.26925355204684,4.62898891599336e-18,"SIG","DOWN",-0.791929226925412,2.84037968181576e-13,"SIG","DOWN","Down-Down"
"97","LOC102926266","rps6","40S ribosomal protein S6-like","NA",2.05749424339086,4.78763951018935e-18,"SIG","UP",1.68838530024431,3.22064480825501e-55,"SIG","UP","Up-Up"
"98","Tesk2","Tesk2","NA","Dual specificity testis-specific protein kinase 2",0.969586404979227,1.43507569368975e-17,"SIG","UP",0.650071124902745,3.00511231488391e-09,"SIG","UP","Up-Up"
"99","novel_gene_NC_056031.1_555","novel_gene_NC_056031.1_555","NA","NA",2.65597802401009,2.03148928262967e-17,"SIG","UP",1.04707131277749,4.96238889680929e-05,"SIG","UP","Up-Up"
"100","Tmem61","Tmem61","NA","TMEM61 protein family",-5.02341489598937,2.36060409480405e-17,"SIG","DOWN",-1.57422018723675,0.00029041761890064,"SIG","DOWN","Down-Down"
"101","Sugp2","Sugp2","NA","SURP and G-patch domain-containing protein 2",0.570844416501336,2.80680942333212e-17,"SIG","UP",0.587955782269951,1.21835684381268e-26,"SIG","UP","Up-Up"
"102","LOC102916717","Smac","Direct IAP-binding protein with low pI","Diablo IAP-binding mitochondrial protein",2.75448613139328,3.75686160634683e-17,"SIG","UP",1.21700976275799,3.36472505677615e-14,"SIG","UP","Up-Up"
"103","LOC121821000","Synaptic vesicle protein 2","synaptic vesicle glycoprotein 2A-like","Synaptic vesicle glycoprotein 2A",-1.80491536046459,4.53353083423241e-17,"SIG","DOWN",-2.70463292719929,3.08650789938605e-50,"SIG","DOWN","Down-Down"
"104","LOC102906127","OSF-3","peroxiredoxin-1-like","Peroxiredoxin-1",1.15283439101223,5.23883248624618e-17,"SIG","UP",1.37371672495001,4.040113134801e-42,"SIG","UP","Up-Up"
"105","novel_gene_NC_056008.1_35893","novel_gene_NC_056008.1_35893","NA","NA",-2.3825987472027,5.46058293198354e-17,"SIG","DOWN",-1.42772757602047,8.41230512184504e-12,"SIG","DOWN","Down-Down"
"106","Tmem81","Tmem81","NA","Transmembrane protein 81",-1.43938234266246,9.10239486472826e-17,"SIG","DOWN",-0.637775054561712,5.0394209348259e-05,"SIG","DOWN","Down-Down"
"107","Znf853","Znf853","NA","Zinc finger C2H2 superfamily",1.85579009652014,1.4306615115361e-16,"SIG","UP",1.12833154520721,2.58754095815401e-09,"SIG","UP","Up-Up"
"108","Cilk1","Cilk1","NA","Serine/threonine-protein kinase ICK",0.852269802215356,1.69506238414288e-16,"SIG","UP",0.175425760105304,0.0337389873815569,"SIG","UP","NA"
"109","novel_gene_NC_056026.1_3749","novel_gene_NC_056026.1_3749","NA","NA",-1.56326341032276,1.7023092852983e-16,"SIG","DOWN",-0.853607932799679,3.35534173394683e-23,"SIG","DOWN","Down-Down"
"110","Efcab8","Efcab8","NA","EF-hand domain pair",2.00561285673829,1.75699612217826e-16,"SIG","UP",2.04621454236977,1.31872682907107e-19,"SIG","UP","Up-Up"
"111","N4bp2l2","N4bp2l2","NA","NA",-0.464192624930801,2.13807164692964e-16,"SIG","DOWN",-0.249304565314617,5.33059794979139e-10,"SIG","DOWN","InCutoff"
"112","Chn1","Chn1","NA","N-chimaerin",1.57790798862882,2.50420820753206e-16,"SIG","UP",0.37139540019183,0.0014342135857589,"SIG","UP","NA"
"113","LOC102910322","CUL-1","LOW QUALITY PROTEIN: cullin-1-like","Cullin-1",1.09674792346537,3.44194516013376e-16,"SIG","UP",0.505247214071376,2.42902428238127e-17,"SIG","UP","Up-Up"
"114","LOC102926393","LOC102926393","NA","NA",1.38484302063395,3.6228241225311e-16,"SIG","UP",0.856946613166484,9.89870933767906e-34,"SIG","UP","Up-Up"
"115","LOC102915095","CFDP1","craniofacial development protein 1-like isoform X1","Craniofacial development protein 1",2.15695812735604,3.6228241225311e-16,"SIG","UP",0.614366676721992,1.39538698299481e-05,"SIG","UP","Up-Up"
"116","LOC121825053","LOC121825053","NA","NA",-0.667135192612266,4.1403846448372e-16,"SIG","DOWN",-0.405584206886495,0.00076582040765025,"SIG","DOWN","NA"
"117","LOC102904053","Gm266","ras-related protein Rap-2a-like","Ras-related protein Rap-2a-like",1.92124690027716,5.04681513292664e-16,"SIG","UP",1.75821923925191,5.01414103916168e-16,"SIG","UP","Up-Up"
"118","Suclg2","Suclg2","NA","NA",1.10320752104975,5.22513748836952e-16,"SIG","UP",0.72813391660115,1.72051259326336e-52,"SIG","UP","Up-Up"
"119","Ndufv2","Ndufv2","NA","NADH dehydrogenase",-1.26910563511928,5.38908904965917e-16,"SIG","DOWN",-0.946531920058809,8.17905596131058e-11,"SIG","DOWN","Down-Down"
"120","Znf862","Znf862","NA","NA",1.7448203113969,5.64060163592026e-16,"SIG","UP",1.3921556003563,1.91751373678489e-07,"SIG","UP","Up-Up"
"121","LOC102906553","APLP-2","LOW QUALITY PROTEIN: amyloid-like protein 2","Amyloid beta precursor like protein 2",1.89847386153066,6.36768231576677e-16,"SIG","UP",1.85761573109277,4.59741754297658e-139,"SIG","UP","Up-Up"
"122","novel_gene_NC_056016.1_1502","novel_gene_NC_056016.1_1502","NA","NA",0.86041451832105,6.86377382199531e-16,"SIG","UP",0.355274268898572,0.00018556299488429,"SIG","UP","NA"
"123","Tmem167a","Tmem167a","NA","Protein kish-A",-0.77447562270065,7.37919582031214e-16,"SIG","DOWN",-0.229446022030991,8.93070422358017e-07,"SIG","DOWN","NA"
"124","LOC102904825","WDPCP","WD repeat-containing and planar cell polarity effector protein fritz homolog isoform X1","NA",-1.46092526536968,8.71523101103403e-16,"SIG","DOWN",-1.12836338727423,5.88289097355784e-46,"SIG","DOWN","Down-Down"
"125","Elovl4","Elovl4","NA","Elongation of very long chain fatty acids protein 4",2.44151843762962,1.0778940006904e-15,"SIG","UP",3.1438235149893,3.72210269304479e-20,"SIG","UP","Up-Up"
"126","Sv2a","Sv2a","NA","Synaptic vesicle glycoprotein 2A",-1.69119996618865,1.10469411139407e-15,"SIG","DOWN",-2.41584735493668,8.03927481067493e-49,"SIG","DOWN","Down-Down"
"127","Fgfr2","Fgfr2","NA","Fibroblast growth factor receptor 2",1.98000828592936,1.25073881035339e-15,"SIG","UP",0.541986257867531,7.1058334696025e-10,"SIG","UP","Up-Up"
"128","LOC121826190","LOC121826190","NA","NA",-1.60690301004445,1.48065131459537e-15,"SIG","DOWN",-0.630004006002281,1.92519373919435e-05,"SIG","DOWN","Down-Down"
"129","Mid2","Mid2","NA","NA",1.10805772668576,1.65178665750239e-15,"SIG","UP",1.11334148077349,4.44591600600621e-42,"SIG","UP","Up-Up"
"130","Slc30a9","Slc30a9","NA","Proton-coupled zinc antiporter SLC30A9, mitochondrial",-0.544247503233655,1.69521281617845e-15,"SIG","DOWN",-0.198373539271053,0.00055768283772911,"SIG","DOWN","NA"
"131","Zcchc9","Zcchc9","NA","Zinc finger CCHC domain-containing protein 9",-0.590645221772532,2.12273006641414e-15,"SIG","DOWN",-0.628550475513898,2.6235375729589e-08,"SIG","DOWN","Down-Down"
"132","novel_gene_NC_056022.1_9363","novel_gene_NC_056022.1_9363","NA","NA",-0.761279739135581,2.7273165252705e-15,"SIG","DOWN",-0.223871198037997,1.76660946315361e-06,"SIG","DOWN","NA"
"133","Sult4a1","Sult4a1","NA","Sulfotransferase 4A1",-1.63311796229976,2.87131838166187e-15,"SIG","DOWN",-1.24871651259668,8.34400658411194e-08,"SIG","DOWN","Down-Down"
"134","Cutc","Cutc","NA","Copper homeostasis protein cutC homolog",1.02166719172504,3.01132469078e-15,"SIG","UP",0.444555187629998,8.34382363016745e-10,"SIG","UP","NA"
